account_address,selected_option,time_weighted_average,rola_proof
account_rdx16yzvsjylg6yrgcnh7q792hj6ls3zl88f0hd7wepy59zhuxaq0ql5sm,yes,33809.19871,"{""curve"":""secp256k1"",""publicKey"":""0356fbe2b1b2ea43a28ac25666d91af6d6b184f58de89a45137f56b9454097fd0f"",""signature"":""0076d969d7cc9e22ff62d9288a4572588d575b7f4f86c53954fd416803cd870f6d3c720ba93f6aef8a4634041f9fe4a28b8563f11c2248cad001df4f387144aa4b""}"
account_rdx16yzs83w362r0y28fd725ksje2krchy8dl50rmr6388zunkq34vq837,yes,814765.1682,"{""curve"":""secp256k1"",""publicKey"":""038545ea0e9812e09e106a8437326b143b7249a61cbe33bac8d00e8b4527d5568a"",""signature"":""0062091204ea0b004f3dbdb26370539615d8ea1466cba5da89f9c8a41171619be0538699f94e93904896757f51203cbe8841f9497cdba2a0f4dd0bca25dbf590ba""}"
account_rdx16yzmta62t63xueeejag48kxapeq9zqs97hvvnuhhy6mg49la4d50dr,yes,239389.0573,"{""curve"":""secp256k1"",""publicKey"":""02e3a713a5afec47432310a791494c1ff978ac74ce36b475e2f5541535b4e6487d"",""signature"":""012ebdcabc0d86b364a1f293e6522f0294e317ed2c0291c8b7f1ce3a64db054ce21ad7b3c53d32aac0db5366b1da25f02d6e8a105d5b3a4d30e97faa8ef621b1a0""}"
account_rdx16yz6380q7dakasuf9gf7k8y493np9k9spep92ndhz9lv77qt6vu0ht,yes,2317811.797,"{""curve"":""secp256k1"",""publicKey"":""025e8427c746e7a0c64abc6a245c16ef4d16cf46872b9524bdeff1162d92c7f6ca"",""signature"":""008094c83c3bd2943638b318c38700627ef33c4386d952e787a1112d7e323f67b5116603ec90c7fd00fbaf889bff023317cd3d9d6b546721bc36e2d1a5c2248618""}"
account_rdx16yz5f663lgzmef9p4ht6nu7aw4jza53lpgltrsa2hehyg7svllvc0a,yes,1567.765372,"{""curve"":""secp256k1"",""publicKey"":""03923e9cc19bba0505283b86ec34fb771fee8a35e00d774250dcb116ce70d14dc9"",""signature"":""00efa4482a061fc764362f29fa11ce8fa77ba7a3e7677b9bb08b7fe519165607457801f24e11a23f72fb6fe2b7f94368d90eeabedbe17cf697d8117416eb0854ba""}"
account_rdx16yyuss9wmqftadyt0zw62ty5v30f7as2knw3782edn452vt3qa3q0f,yes,35022.09064,"{""curve"":""secp256k1"",""publicKey"":""03aebb175eb5295b294c0526715f196cdd42276ffcd4220a8a65ea536cb4ae0143"",""signature"":""012409e6667c98ad771c69b7a9afbbb5928e230decf9b50ea5c37138bc47be1f052435b1ad9cdfe20830519aa90c4cbd56c1e74622375d2ca1aa273762a0158631""}"
account_rdx16yyspuxweld97q3605d5ju50w9uq055pm5zvahvjmf9k7uq8ukj2ve,yes,46909439.11,"{""curve"":""secp256k1"",""publicKey"":""03176323f648d7d9c6f2a35526e976044e53f98b07848b3a2e69a0b70f0ab34621"",""signature"":""018057d40579b7bb4539a82db4648aa180a3efff2fe32ab1c17caedef0b9c31feb6e0b08ecd9540f1167fe0f3db1ba5bc5f25b44b3cf52c3311fbc696f0cc0c949""}"
account_rdx16yymzs83qsp46ms8a4c8lvw94zsjdj976hy0rg9qps9djtc2xr3jgs,yes,214056.5925,"{""curve"":""secp256k1"",""publicKey"":""036b2f9d5edee447b3dea3d0730378efa0baf8f2b6839c63c30c346574a58e2e4d"",""signature"":""006a5e9d6edaa9b7b3aba0ee68a5ec49dfe8d58dcacfb674080e871c5b33c9c63209ed02f4bf657b653cd71b7622e8c8cf3c9561b6fe9cbe3d8aa70fc4d1275f6c""}"
account_rdx16yym9xxyk8uu2gwvdrlrv56ff76az0u6kh5uv7es7m7y55an25yxfk,yes,49047.16902,"{""curve"":""secp256k1"",""publicKey"":""034b97552c4c83507fc7141887b2c0fd755277f7a05780439218b4da3e19181d27"",""signature"":""01155e1a3e700a0cc85fc11a8bf598079a7b7c40f8d8edee2cba7da7f6d9dcf8a8171149d0704acaab1759dbd69eb3521ffca63e9b0adce85b4baae22d2f36c76b""}"
account_rdx16yylmjdvu692j58mgh6gjh49xzve2yytxjvhpkc5vwj76cw86x4mcu,yes,352503.0585,"{""curve"":""secp256k1"",""publicKey"":""031e391a69730bd1770e3f4ae29c244f83c4b2b213d06acc8487396792a5ac8df2"",""signature"":""00bdce855a8d1f5ec53fb0f3e4fada7d00a5c983f73a545ac348e24a398fd22ed67b0e1a72db60bea7a694b059a99e47753c90ed10586161b6e8af7889f90c1b46""}"
account_rdx16yy3x8tlza7fsyew9j0m3ev33uqxkw4j3zst0uj7nzu5dvszn4ag3q,yes,159.9200412,"{""curve"":""secp256k1"",""publicKey"":""02567441397afbbe868a3fcaf0660fd03ce2ee98e0a19da19e844615a94e346638"",""signature"":""002c4f1df5cb628a69e133ef29a0627da001501746da45646ec863d8dea862e11a7cb76123ef00c1f3f002c853711ebd6b4836bede0f4f3a993c7f45f5d1572241""}"
account_rdx16yxknwtq8rk5yyspm7wye06g4ppq6qd9t0g589gcwuffx7qd03k0e9,no,120682.4425,"{""curve"":""secp256k1"",""publicKey"":""02763468701f67fd23b65f82919be3950f48266445eccaad7e7751177ec51f621b"",""signature"":""006f436dc29e22ce23255cd1c2b6ac460a3b7bd381d904752e4ffeb5ef5cba231e2e93bf318c5886fc7290ecfd47324dfd3f4ad1d5623482acb7ed317e97138832""}"
account_rdx16yxfl7u88mtw7ua2urpepfks94lpl2ylxnwcdfrgsf3nq88hgawy83,yes,55822.60894,"{""curve"":""secp256k1"",""publicKey"":""0282702e33102e620c032285eba263f8477c4729d327e2b876aa0eb762e2c68034"",""signature"":""01bfb9b1aacbb989412ad4837595dda2799d4a7bd5098ba91fd50b667b1d2d2f901925ce94f4f18c471140d3962a9cb1a126d9a950cf0ea0c75845a1369934a562""}"
account_rdx16ywsxtw9krel2hhvx7p2vetvv9yx0yma5wqvg9wl3eahfz9wes359k,no,44003.15723,"{""curve"":""secp256k1"",""publicKey"":""0294dfb704d451e548bbd32adca3880ea27c6d5c4cedf4b284e5cdf438ca268693"",""signature"":""0043bf220e703b7cff4824c87a54caf4b35663606895a2adac0548f9f3f483c4e279c5b9571049e089bfadce907e9a81dc0bb12370d246bd5ad78c5492d1921759""}"
account_rdx16ywgy2xpxy7wea0qtq0kjum7qq58aqqzqazes4zcme2m830nyy6lc8,yes,1410.922448,"{""curve"":""secp256k1"",""publicKey"":""032d9c4051f19ffe02fb9ca08a180a4a6198b1910fe5c273e84f22d7bf96e9eefa"",""signature"":""00c4b02c7aaef85571204e4d0437093da4c2a736907736c86dd09d20c1d360acd23f06d03e0c0591a733b05e38ae45ec24613c64396f5686ff8ee41e76e3e93064""}"
account_rdx16ywc8sy68ty70phfas66yta592atj3tn57vgca8cyvxvkc33ux37yt,yes,1023283.291,"{""curve"":""secp256k1"",""publicKey"":""03cd317eb8ac9d59fae3b579dc97b2e6335f627a3df9b96eca6f8976737ac6807f"",""signature"":""0109979bc4ed217c3f58648aed90d94c802bdbbd838656922a796e4b0be916ee5c03b417ec611241f64466f64e08d1be73c7153043c8edf7732099ab6e0675f1c6""}"
account_rdx16yw7qhjkwqy77k7ftzey3x3w9saek26ja0urlymgcmwp02wsm6yzvq,no,40104.17911,"{""curve"":""secp256k1"",""publicKey"":""0271f30f78a996d193d9e61442785741efff2d45197c20857844c393816174d861"",""signature"":""01593919a5bfa660bbca754300c76fa33f23187954b7e9506b35f1eed586940c7f33bcfe7bbf5042199847612a42ed455676cf2d63186d727a3ba154997c59578a""}"
account_rdx16yw09ssctvpvtlzv79s8qxqy0gtwws64fxctpfqvc235k8esk0kcg3,no,25003.12709,"{""curve"":""secp256k1"",""publicKey"":""021805a4731b11fff53e91e71148b6e5ea4eab9ba677762dd01bb55124b36e899a"",""signature"":""0063b59374d2c9393abb14f559d5053f7d1e145e8247c15a1b523b008f09bd5a3c191990c7d24bf69fb6b87214189824fe9dfb7ddf35d2951f266c1af1ee6fbe38""}"
account_rdx16yvngl5kyy9jlmrsv63qjyk2m6zed4ean7n66efc8x969dnlz0x77d,yes,155.0778227,"{""curve"":""secp256k1"",""publicKey"":""02216061eee151d3eadd354d1418503bc1065aaf5f7ad7e660c8beee23c4c0c6f0"",""signature"":""01a53982adbdbc89752b8c1b2571f9708e7f13295f8838ae54bd03da7661f662904a3ce5d64008b4ac4870db7df777289ff0f6117d047d185b54566000c93659d9""}"
account_rdx16yvn9d0n2sp9z66ylelwygvluap2s3pm7cnqlpkvcw5g8v6vazgs4r,yes,1242308.05,"{""curve"":""secp256k1"",""publicKey"":""030d57107a4774b04d18d940364e52bb7011b9c10fe8410cafe9eeaa0aafc53c7a"",""signature"":""019e938cff2ffb4091bbce5b20ea7a1d2415d1e3d10548725a9786d532df74abe46dbe99fc1e8732d887169980376ef814c677925ec1873a69f4a1d0181e71c40c""}"
account_rdx16yvc2gpyk4h2jnaprwaevej3t4nqajtvulcnrp2kvdquy5yyr40yk8,yes,2769.787247,"{""curve"":""secp256k1"",""publicKey"":""02a86f89c8c09475eda0ba45309b08e24f72dd674e97691ff6215ba76fe63b2529"",""signature"":""018854131c19bbb865fe8ee5e28c34404a6784b4e8f2871d11bb101fd1680dd5745f356791fbf624125b8cbc1712c515016beab2880e259679a26327eed70b3d9f""}"
account_rdx16yv9wxz4e5a9fd5njfa507len7nzja5kjtvuyc0lmgp40j8ady7cg7,yes,2793925.137,"{""curve"":""secp256k1"",""publicKey"":""03ea0b7cbdb0d173cec159bd1d5b5b5b4da9f5814f6f711ded65ccf0c15b74e7ab"",""signature"":""00cfd6cdefe3ba8ec09e3def5a20ae765b65d494a5c67d88e80194a558224e30262dd15ac9597b9a1ef2a6e51d87420383a29214a4d173801b2a6c834d114661b1""}"
account_rdx16yud6v4kdm24rdmucs7sn9ewnzp9dn4r9jz58c2n2p3sznr27p09lz,yes,44.1295804,"{""curve"":""secp256k1"",""publicKey"":""03a86ce73b03c5fdea27d7c6ea1d981998fb78e646e83861a5b38fac35c83d6267"",""signature"":""01deb3c907f08850d33d9be0c3b6f3644deddeeb66c87017ec079910c8214b555c35e3f4c06da8c20d4036974e35969c5afc394d23a5ee87bd2938a88d0ce78156""}"
account_rdx16yttv7s0deyt5vpp7nwuuce9ugpghtkkru4v8ljfe5008g4ydy0lv8,yes,258.5847224,"{""curve"":""secp256k1"",""publicKey"":""02ac160a22a6a65022e0d6820efbf4584b9173d681711d05ae3ce044bc92083288"",""signature"":""007884f2dc5d632b2ff1d186aec45a4d022889d46c7090aae16dfdd63eba8a1a37380038a563ab740e4ce94c908a86fc63c6a5fac1683166a00f5eb9bef24e4a6d""}"
account_rdx16ytpkj9av6jtaetcrspk02jf7kge8mhap7vu4gzqs5hl369u4sggag,no,299724.8996,"{""curve"":""secp256k1"",""publicKey"":""031de62f9239b833d0ce4a71a4c7ef3b1601f281f6d9c3048c4ae3942dd2c88b16"",""signature"":""018e62fad48a6276101fb9b0795073001e48f0fcad2c30065556ead95a244cf74e5406b7ca2108e88acc5368f97afbb513c044e31912dc5c4fc828f88445206783""}"
account_rdx16yt5m246gj02c0yfe6n8kv4nhm5vzg0wulewghfe6v3lpt7wmzenlu,yes,2.56521109,"{""curve"":""secp256k1"",""publicKey"":""035797ccd4b1f844d2283253984c21c3b0fac37740c12aaf96e33b0bdcbcc57da9"",""signature"":""0004ab10d56bbcd8e47ee2c91d51c28301b4447c050d87a777c416efd4ba3d6ee850d45dfdcd2bd65f7f8d3b401db5305ec7e627c27aa2b1611a3ab95975eb86bf""}"
account_rdx16yt36chmpx807feznqaq64ac7ltxpaslfh5rq88dpfez3xn2290w9w,no,1534401.689,"{""curve"":""secp256k1"",""publicKey"":""0380aea5d3cbf21616d217b6431513302740594cbd530ffce8c077da2aa87b4f11"",""signature"":""00768df7bd99abc901e9eb1d43a097c8239feb9042f56bc6c1806fa6d5be1e05501e0fc8de2b5bab72227acd98f9f46f199747e875610f71ee7b1240eb52fc7896""}"
account_rdx16ysy3ya289vtajrd6quuyf3450eejdpk5kcpewllutk67xaqc5r9kc,yes,360896.7871,"{""curve"":""secp256k1"",""publicKey"":""0277b989f9f5398280ac9dd2a836ebb8cbf1f44b3e528827f31c2ceabe4365a558"",""signature"":""016b80f85e7e1c4118067947cadb7b5609e3956895815e43abf9f8536658ca982635d74e68d0b8f887e725c8ad24353ce7c04e3579a9a6bf4f7f26dc855016477c""}"
account_rdx16yspgq36khg49f3qhs0af9v49hqwv5ysju6s7qhsng4z38nqex226a,yes,599228.8185,"{""curve"":""secp256k1"",""publicKey"":""0393039dd971452ab6dff8f7d30a6706e3a63d4de131d467529aa7550f0f3b2f05"",""signature"":""0177662592f1e00f9f9f55d22f3800df274df88fd2fd57e6be8c1ae467340cc96569ab878cef154969893d9095c7a13042417186c697c3b2aef66ac8789ac87b2c""}"
account_rdx16ysamcvdvqfyzzjy8pnljuv7vauhu43e9scgp6s0uzqvc9zfgw856c,yes,222220.6948,"{""curve"":""secp256k1"",""publicKey"":""031e2540efaf5c633db2878a40a9c384b770d20adc99b065e7c74e6c37b4bc0f35"",""signature"":""01420adeb5f72ebd99f8a4f17a7765c113abdb77baec3b32c6315456c24edf02c907ad126e9cd9b5eb63b6f3b97996861a36c6f84d66de3a7a07130398c53252df""}"
account_rdx16ys53ewsdrlmjyen3urk3v9hhd3ls70skd2xdc4tw8p67w6azvm5k3,yes,796.453802,"{""curve"":""secp256k1"",""publicKey"":""0234a7d169f79dfa1c265bcfc10a2b1fbc301deddba9b22a9ff9d1595861321a02"",""signature"":""00503f759d65969e929f69e0503332d57560d31399c920f0eed7092d3d9325a5477904a00c1a90ac263e99e374509db5176a6cf867a656007299a44964bb9b661d""}"
account_rdx16yrvaj98jseuqttjnf9sjfaq9q2fcjrnejvau3k4auev283gzkzawz,yes,356071.1545,"{""curve"":""secp256k1"",""publicKey"":""0238d164de4ff3500c0ef86de3f249cbbe81e39bb6dd9a3d347ef7ea7d8a2bb0a4"",""signature"":""01077851e37a69ce0dc6caf34f2b0ff99b605b95a76f9508181716043fabd8d58d58316f64c39bccd81a7083f3809b8f401ae8a0f48c54e9f353f9db6e8f7276dc""}"
account_rdx16yrue2ar9645q3wpcd9sahc9dxsmtf2rq8tuc49q9h7j9g84xwh07e,yes,997.0841576,"{""curve"":""secp256k1"",""publicKey"":""02a9d381c1588920d4d0cd9735669b0212d2d01e508c3bcf483908e476401c6d42"",""signature"":""01b0d829534b7d4f62c00141249c7f96a2968c1cbfe1e25272d402d0659303cddf50fb23e57b61ac3e5ea40082cbe23a25986a6954bb772eefbcb4bc2661ea5b4c""}"
account_rdx16yrtesw4eknz8xdeafm8ej9qguvjxv0lk6nj9plmfu7vwsxmet8zm8,yes,1335356.838,"{""curve"":""secp256k1"",""publicKey"":""0322c161e74617d5c6a14bdf374fa9d3a99849d47b655df65105662eef9bc711f5"",""signature"":""01c8d650260ee5491096022eb613bbfd891687544f178e98d996bb6fe8329656015ebc45073ba584e7412aa15e898a86d6f0e0da6ecacdf169d53e2495b0af1773""}"
account_rdx16yqvtqgra27mta8tr5ga555m742w928nl9m3qqnxpq7krrax3m9ynm,yes,1141991.831,"{""curve"":""secp256k1"",""publicKey"":""02c00c357886c80d1320ae9976afc21311e1fc6d5906a00ad0e905f591d9b825be"",""signature"":""009b6699341c5987c047bb8dd89925def4c9db0117279efbee3da01d952d21051e719089191b26024c4ca1cf3ab3b211fa359994ac3ff2cdcbdc5aae1fc1ec13fa""}"
account_rdx16yqvc0yvmz5rfld6ffwkzuww55pc4njxr6ptqegvudq3r3xlraq27c,yes,7637372.477,"{""curve"":""secp256k1"",""publicKey"":""020b070845e8670dda94b70361a48650f97c8d1a24b4090bd260fd78e7a711234a"",""signature"":""008e6a75f0101951b82b5b7cb16397f55f49081093297faff2b6b1cf029d29447451001ece60fc9bffe5ab5fcace944f869570100434ef07f9021a6573015d51ff""}"
account_rdx16yqv33sjws77y89dtrd8h5u6cnawh26w3q53tfnjcevemh0jgyc58p,yes,141180.4989,"{""curve"":""secp256k1"",""publicKey"":""0280e6c95eb988e081bff4930375888294087384966eed31703a27ecbb951a8b06"",""signature"":""01173539bd9c7e4cb816264cd7667b8c01aaaca99b6fa67201ebc942ad3e027e960dd73d36a8b6dfeeed64a730b5c2386c83d7a352b23a1c87ffc2ce5c338f6278""}"
account_rdx16yqu7ypdqqkzpgqvl7qhufye3ctuduwt5v752ky74g3f8fr62fahse,yes,0,"{""curve"":""secp256k1"",""publicKey"":""02e9656110cf32581932ff3deed953d77d7052a8f23a23e5378c131d21f6f42628"",""signature"":""017718c001c4b2893a0787ddffb8c6a37bcde7941c37edc32c8c876c24e529420b3797f3f4a7837321021ec3ac108e678356b3a9828c48623df717a9d0bad60433""}"
account_rdx16yqnfagg8kpmahswefrjqlmt3zymht6gtm3je4adq3ch388r7gf5vn,no,0,"{""curve"":""secp256k1"",""publicKey"":""03ac6a6bb21cf279ffd99f3f8990969bb68db102093c0562b0a495e43776bc10cc"",""signature"":""01aa9a29e22db1e9c60169c4af08f44f6513dd8309e6dbcc1a7ac106f542175eb11e2580c7aeb6900ec8c82fb8850319b9b1ae93783aa9a55437f3ce1c3390f09b""}"
account_rdx16yq4ddfj3cfafrkaa8qucnn64yp8t62eu39hwmd4dx3m74z2m24z6h,yes,310630.3588,"{""curve"":""secp256k1"",""publicKey"":""030d4d4bbab0ca388cc261477df37ad2fc4e7186f35f1b739e99419a4645d3a629"",""signature"":""00f018612b214dbb3d1052eab87aec77575d4d30e2e3a72250acab13a3861babbe3a0186b72a3bfc81e8c7d26aac140ee2a66cedaa118ddf2a766bae7ee4f16c17""}"
account_rdx16ypu9y4rh3scpsgjy7pynaeqqfcjf8fvzuljf6sdupgwyr28n3tdwe,no,1000329.519,"{""curve"":""secp256k1"",""publicKey"":""0321cee1cfe893cba4778b2821848cb4a3d4735a0daff35806e08b1d7d8563e62b"",""signature"":""009ecc929641b3521ddab1708fbfbda9e131af6040915c929d7524ba568c6944c114ff5cdaef88ac4465450018a86fa4d3ad1f1d70d186d3125104ac3738ab0774""}"
account_rdx16ypfekd7pf5x6ktvpug46cr5whng7h3aukulyageev50fxa3jxgqgl,yes,0.6492850371,"{""curve"":""secp256k1"",""publicKey"":""038662602bfd966f8e4af8e21be87aae9e0a1df8231b878345f36ad2455e8e8b8b"",""signature"":""00ad355ec341b567151dcdf251640cca005a61edaac74d6b5ab94834ee15f3333e12198e3ac6797b434385ace9d78679afbbc22c44a5aa6308454ca3cac772880f""}"
account_rdx16yp48ph2sh4xgr3qff85kut0fkd84cvtetyh6k37z2a78cp2qdwxts,no,2777444.305,"{""curve"":""secp256k1"",""publicKey"":""0273e72acc6fd5daff72987485f04935468815d07efdfa95e859ab533acd9e57aa"",""signature"":""01d7f4683b60a3cb2c29759898d28eb2701e57dcc1334deb288cb1a5b58374232a1de31e4f9ec955f3b23b4d11087d95fb3acc711ff2cd817379b90828210819e5""}"
account_rdx16ynuh8fa64s5jx43cv6f26zuaz6f6u5l86ujaw2vfwnjpwlcg4lqa8,yes,524235.0075,"{""curve"":""secp256k1"",""publicKey"":""03af836ba6d7016f236b41227249c4efa79bdc97570510c9974197c744d06b027c"",""signature"":""00617f25d028a356de4188fd0ecfd1f39fded684bd16f25ebdbba361dc87d6df482a71135b82a61cb08e4846c6b8564f80a6acf007fa859b8f47ae4ebec26a73cc""}"
account_rdx16ynkpxyykfnc86cse4v538l9ftc2xcydz0mpwpg43vrpvesjxumc23,yes,970.8809984,"{""curve"":""secp256k1"",""publicKey"":""021c05c23faf2fd917e4433e10f8ebb294e8dd715f78444fb9bc9872c28d3f4fda"",""signature"":""00f760e164403aab12ce15b6756344cba264874ae8da16f248ae7d821237fdc0e4196c325b2e6e24db255dcf5a1ee36af95e3c76963f16b232928803a4f9df13db""}"
account_rdx16ymvg0v6rmsg5zsrz4qtmcgte729d8zqxuyuv3cnc0hsc0v998c0nn,yes,12351.53487,"{""curve"":""secp256k1"",""publicKey"":""02504d015247923df90ff44b560e73ce6b5d150b2c31678a42b0ad320aa2ea4536"",""signature"":""006766870b048858ff7dc384ea72920819c9e7fda996969b600cfb1516befcff625fa47fbc88d59017627c08028fbbc243e663dd124cca906e53b1afcf27498402""}"
account_rdx16ymtkrvgkejdqvujzen00zp0dvcj3c620jadqyxfpmqvupl9hx7x3a,yes,2902373.266,"{""curve"":""secp256k1"",""publicKey"":""036b88b396bd74a914c9b19fc9587181f8aec81c4b9c5ab65b8c45c36eb3c95fd1"",""signature"":""0095d91c90a00f912b3b12f472c5c7f2bda9a4b790445c2962428ff1db56da930c50ae2db5a4a4a7957a47a709bb2c54235416a85086f6ab02ddca991517ddde27""}"
account_rdx16ymsynhk8xerl8jp8pz9ddla02tly4a4csxy0j2aawq6yzcq9qxl2f,yes,16263.63189,"{""curve"":""secp256k1"",""publicKey"":""0201880c0aa1206f17ccacb280909e47e2c46fd0632adada46c1b48e80c6d8c01c"",""signature"":""01b285c37f4ffaa939c56eb22d640345cb3b9949d6d39f24a35f3222221cd53a511c5ad09bfed70f2323449cb6a01e75944bc4dba8650853f3e214e6b1abb62d9e""}"
account_rdx16ymsdfsvm7yleec30jum4k53r8s227l9p2w69jwvhclse9e7sfhvdr,yes,16811.38219,"{""curve"":""secp256k1"",""publicKey"":""03d48d3c8d03bb0ff38b393cee51a6c44f593a79d7b265fe1b1fffb6beb8993465"",""signature"":""0056fb2d9493a967e4656b064f5d36122b31948f3fa0d680cee71fccf8ac7ff04939521c956f5d6d1dac9171edeb4ac6fdcac3725ba29619c72a4d024babca720c""}"
account_rdx16ymm4kzxca7jkwnztuzlsgzw4rk5twajyyj56sm8rjm4m2pe9kw56l,yes,12092625.42,"{""curve"":""secp256k1"",""publicKey"":""027fe4e6cbe156d982c23ec60768469df640319acba00a0b13a8e0ac64691fab8c"",""signature"":""01f201fcc16b53119213799b4061df885a1459f3204162a794b9f15745dfc701544742a2eb9db026682a598de071c0b296f633dc0f7c66e92d88596adcf15ef521""}"
