source,target
/project-ignition-details,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/65c3bfd9846b7773b8dd7148_project-ignition-details.pdf
/terms/UserResearchTerms,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/65d49b900b170706e9249ad2_2024-02-20%20User%20Research%20Rewards%20Terms%20%26%20Conditions%20v.FINAL.docx.pdf
/wp-content/uploads/2021/01/Cerberus-Whitepaper-v1.01.pdf,https://www.radixdlt.com/whitepapers/consensus
/competition-terms,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/60a6b9a7c451ed7827760cc6_Radix%20PRIZE%20COMPETITIONS%20TERMS%20V4.0.pdf
/docs,https://docs.radixdlt.com
/whitepapers/consensus,https://assets.website-files.com/6053f7fca5bf627283b582c2/608811e3f5d21f235392fee1_Cerberus-Whitepaper-v1.01.pdf
/eXRDTokenSaleTermsandConditions,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/608865573acc75df09e88207_eXRDTokenSaleTermsandConditions_210208.pdf
/whitepapers/economics,https://assets.website-files.com/6053f7fca5bf627283b582c2/6088147cbbc08674b4975349_Economic-2020-V10.4.pdf
/wp-content/uploads/2020/08/DeFi-Whitepaper-v1.0-3.pdf,https://assets.website-files.com/6053f7fca5bf627283b582c2/60870dd57116a30d877abe57_DeFi-Whitepaper-v1.0-3.pdf
/terms/eXRDmemo,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/6088561418be274365a6cd39_2020-10-22%20Radix%20Token%20-%20Information%20Memorandum%20CO%20Finalised%20Version%20with%20full%20Appendicies.pdf
/foundation/tokenterms,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/6088563ddcf546ad90b0b20d_2020-10-27%20%20Radix%20-%20Token%20Terms%20and%20Conditions%20(Final).pdf
/privacy-notice,https://staging.radixdlt.com/privacy-policy
/wallet-2,/wallet-landing-2
/wallet-new-variant-1,/wallet-2
/terms/RadixdApps,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/65d49b9026db5f4d865a9626_Radix%20DAPPS%20EULA%20v.FINAL.pdf
/wp-content/uploads/2020/11/Economic-2020-V10.4.pdf,https://www.radixdlt.com/whitepapers/economics
/terms/validatorawards,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/61703e4e4bd8321cdba5933f_2021.10.13%20Radix%20Tokens%20Jersey%20Validator%20Awards%20Terms%20and%20Conditions.pdf
/brave-v2,/brave-2
/careers,https://www.rdx.works/careers
/blog-category/podcast,/podcast
/brave,/lp/brave/brave-landing
/lp/ebooks/ebook-landing-brave,/lp/ebooks/web3report-brave
/blog-author/ben-fargher,/blog-author/ben-far
/brave-landing-v1,/brave-1
/scrypto-competition-terms,https://assets-global.website-files.com/6053f7fca5bf627283b582c2/621e533d0ede9185ccc85192_Scrypto%20Challenges%20Competition%20Terms%20and%20Conditions.pdf
/discover-report,/lp/brave/discover-report
/blog/all-recent-posts,/all-recent-posts
/lp/radfi,/radfi
/landing-page-2022-v1,/brave
/terms/eXRDTokenSaleTermsandConditions,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/608865573acc75df09e88207_eXRDTokenSaleTermsandConditions_210208.pdf
/dlt-privacy-notice,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/6089e7f2b6f6b5317b2013a5_Radix%20DLT%20privacy%20notice.pdf
/landing-page-2022-v2,/brave-v2
/landing-page-2,/supercharging-defi-ecosystem-growth
/signup,/
/events-new,/updates-hidden/events-new
/brave-landing-v2,/brave-2
/video-setup,/video-setup-code
/install-scrypto,https://docs.radixdlt.com/main/scrypto/getting-started/install-scrypto.html
/landing-page-3,/unlimited-scalability-forever
/terms/XRD,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/643ea1fb182912a40be52497_2023-03-30%20RADIX%20(XRD)%20WEB%20SALE%20TERMS%20AND%20CONDITIONS.pdf
/whitepapers/consensusucdavis,https://escholarship.org/uc/item/6h427354
/events,/
/terms/genericEULA,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/6511ce11128097a7e9690cc2_radixdlt.com_genericEULA.pdf
/tech-blog,/blog-category/tech-blog
/community,/
/whitepapers/consensusUCDavis,https://escholarship.org/uc/item/6h427354
/old-home,/archived/old-home
/terms/dashboardEULA,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/6500752e92303eca598fd567_radixdlt.com_dashboardEULA.pdf
/terms/gumballEULA,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/6511cd020b9e047a628f3cc5_radixdlt.com_gumballEULA.pdf
/terms/nft,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/656721c7cb1ef4176cf8a4b1_2023-11-13%20NFT%20TERMS%20OF%20DISTRIBUTION%20V3%204134-7711-6493%20v.1.5.pdf
/terms/nodeEULA,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/6511cda57f1d03a7828c6fd1_radixdlt.com_nodeEULA.pdf
/tokens,/token
/whitepapers/peerreview,https://escholarship.org/uc/item/6h427354
/brave-2,/brave
/lp/radfi-brave,/radfi
/home-test-pre,/archived/home-test-pre
/discover,/lp/brave/discover
/web3report,/lp/ebooks/web3report
/post/(.*),/blog/%1
/whitepapers/defi,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/61d5a4583aad156a094c5628_Radix%20DeFi%20White%20Paper%20v2.05.pdf
/radfi-post-wip,/radfi-post
/home-test-live,/archived/home-test-live
/archived/careers,https://www.rdx.works/careers
/rq/radmorphs,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/66a93180ff79a62d7a8e6522_PROJ-RadMorphs.pdf
/rq/radgems,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/66a93180fd7b0ae337a3bd7b_PROJ-RadGems.pdf
/rq/ottercoin,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/66a93180d1e37360a06aaa47_PROJ-Ottercoin.pdf
/rq/morphenergycards,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/66a93180dacdbd6b666cf14f_PROJ-Morph%20Energy%20Cards.pdf
/rq/herobadge,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/66a931803e64f427106673f5_PROJ-Hero%20Badge.pdf
/rq/giftboxes,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/66a93180df3de9443db77bb0_PROJ-Gift%20Boxes.pdf
/rq/elements,https://uploads-ssl.webflow.com/6053f7fca5bf627283b582c2/66a9318032c354b0d3d67a44_PROJ-Elements.pdf
